Description,Category
Swiggy dinner,Food
Zomato order,Food
McDonalds burger,Food
Starbucks coffee,Food
Dominos pizza,Food
Subway sandwich,Food
KFC chicken bucket,Food
Supermarket groceries,Food
Vegetable market purchase,Food
Blinkit grocery delivery,Food
Zepto quick grocery,Food
Dining out restaurant,Food
Bakery cake and pastries,Food
Breakfast cafe bill,Food
Uber ride to college,Transport
Ola cab to office,Transport
Auto rickshaw fare,Transport
Metro train card recharge,Transport
Bus ticket fare,Transport
Fuel petrol pump refill,Transport
Gas station diesel,Transport
Parking fee mall,Transport
Toll plaza payment,Transport
Rapido bike ride,Transport
Indigo flight ticket,Travel
MakeMyTrip hotel booking,Travel
IRCTC train ticket,Travel
Air India ticket booking,Travel
Uber airport drop,Travel
Amazon wireless headphones,Shopping
Flipkart electronics sale,Shopping
Zara clothing store,Shopping
H&M t-shirt and jeans,Shopping
Myntra fashion order,Shopping
Nike running shoes,Shopping
Apple store iPhone case,Shopping
Decathlon sports gear,Shopping
Bookmyshow movie tickets,Entertainment
Netflix monthly subscription,Entertainment
Spotify premium subscription,Entertainment
PlayStation store video game,Entertainment
YouTube premium subscription,Entertainment
Concert ticket event,Entertainment
Gaming arcade zone,Entertainment
Electricity bill payment,Bills
Airtel wifi broadband bill,Bills
Jio mobile recharge,Bills
Water utility bill,Bills
Gas cylinder bill,Bills
Society maintenance fee,Rent
Monthly apartment rent,Rent
House rent payment,Rent
College tuition fees,Education
Coursera online course,Education
Udemy web dev course,Education
University textbook purchase,Education
Stationery notebook items,Education
Kindle ebook purchase,Education
Pharmacy medicine bill,Healthcare
Doctor consultation fee,Healthcare
Dental clinic checkup,Healthcare
Blood test lab report,Healthcare
Health insurance premium,Healthcare
Gym membership fee,Healthcare
Swiggy lunch,Food
Zomato biryani,Food
Uber cab ride,Transport
Flipkart laptop bag,Shopping
Amazon books purchase,Education
Gas bill online,Bills
Mobile recharge Jio,Bills
Movie popcorn combo,Entertainment
Flight ticket GoFirst,Travel
Pharmacy vitamin supplements,Healthcare
Apartment rent transfer,Rent
Maintenance charges,Rent
Tea and snacks stall,Food
Coffee day cafe,Food
Auto fare station,Transport
Train monthly pass,Transport
Shoppers Stop shirt,Shopping
Uniqlo jacket,Shopping
Prime Video subscription,Entertainment
Hotstar sports sub,Entertainment
DTH TV recharge,Bills
Broadband ACT fiber,Bills
Skillshare course,Education
Lab diagnostic test,Healthcare
Eyewear Lenskart,Healthcare
Resort room booking,Travel
Cab to station,Transport
Grocery store local,Food
Organic vegetables,Food
Fuel shell pump,Transport
Skechers shoes,Shopping
Udacity nanodegree,Education
Doctor clinic visit,Healthcare
Fastag toll recharge,Transport
Hotel booking Airbnb,Travel
Steam game purchase,Entertainment
Spotify family plan,Entertainment
Water purifier filter,Utilities
LPG gas refill,Utilities
Electricity discom payment,Utilities
Waste management charge,Utilities
Plumber repair bill,Utilities
Hardware store tools,Utilities
Painter labor payment,Utilities
Pest control service,Utilities
Home furniture IKEA,Shopping
Custom tailor charges,Shopping
Office lunch box,Food
Fruit market purchase,Food
Airport shuttle bus,Transport
Expressway toll tax,Transport
Swimming pool pass,Healthcare
Physiotherapy session,Healthcare
AWS cloud servers,Bills
Google One storage,Bills
GitHub Pro subscription,Bills
Notion AI subscription,Bills
ChatGPT Plus subscription,Bills
Classroom note copy,Education
Exam registration fee,Education
Seminar conference ticket,Education
Medical store bandages,Healthcare
Ayurvedic medicines,Healthcare
Heritage hotel stay,Travel
Cab driver tip,Transport
Street food chaat,Food
Juice bar shake,Food
E-bike rental deposit,Transport
Luggage bag travel,Shopping
Headphones Bose,Shopping
Audible audiobooks,Entertainment
Bowling alley games,Entertainment
Car insurance policy,Bills
Two wheeler servicing,Transport
Spa salon service,Healthcare
Dietician consulting,Healthcare
Newspaper subscription,Bills
Filter coffee beans,Food
Curry house order,Food
Car wash service,Transport
Sneakers online order,Shopping
Board game purchase,Entertainment
Microcontroller kit,Education
Multivitamin tablets,Healthcare
Beach resort stay,Travel
Intercity bus sleeper,Travel
City parking meter,Transport
Smart watch strap,Shopping
Comic book store,Entertainment
Udemy Python course,Education
